fromTid,toTid
tt0047528,tt0022054
tt0047528,tt0061184
tt0047528,tt0019788
tt0047528,tt0019344
tt0047528,tt0037884
tt0047528,tt0012532
tt0047528,tt0022834
tt0047528,tt0020298
tt0047528,tt0012763
tt0047528,tt0029606
tt0047528,tt0055601
tt0047528,tt0042192
tt0048424,tt0041088
tt0048424,tt0037865
tt0048424,tt0042046
tt0048424,tt0039725
tt0048424,tt0047985
tt0048424,tt0041958
tt0048424,tt0043014
tt0048424,tt0046126
tt0048424,tt0040823
tt0048424,tt0039689
tt0048424,tt0051036
tt0048424,tt0038559
tt0049406,tt0035432
tt0049406,tt0052311
tt0049406,tt0042788
tt0049406,tt0048021
tt0049406,tt0040506
tt0049406,tt0042832
tt0049406,tt0036342
tt0049406,tt0048254
tt0049406,tt0022100
tt0049406,tt0036775
tt0049406,tt0045897
tt0049406,tt0038355
tt0050083,tt1068649
tt0050083,tt0057495
tt0050083,tt0022264
tt0050083,tt0278731
tt0050083,tt0918927
tt0050083,tt1360860
tt0050083,tt1149362
tt0050083,tt0056592
tt0050083,tt0208990
tt0050083,tt0051077
tt0050083,tt0033467
tt0050083,tt0053619
tt0050212,tt0059885
tt0050212,tt0065207
tt0050212,tt0097027
tt0050212,tt0361748
tt0050212,tt0035800
tt0050212,tt0053935
tt0050212,tt0082432
tt0050212,tt0240510
tt0050212,tt0311113
tt0050212,tt0077416
tt0050212,tt0054953
tt0050212,tt0043265
tt0050825,tt0117951
tt0050825,tt0813547
tt0050825,tt0087843
tt0050825,tt0073650
tt0050825,tt0040522
tt0050825,tt0053976
tt0050825,tt0078788
tt0050825,tt0061512
tt0050825,tt0072890
tt0050825,tt0280653
tt0050825,tt0077416
tt0050825,tt0093058
tt0050976,tt0074147
tt0050976,tt0021331
tt0050976,tt0064940
tt0050976,tt0067445
tt0050976,tt0056801
tt0050976,tt0100998
tt0050976,tt0478304
tt0050976,tt0059643
tt0050976,tt0083922
tt0050976,tt0110148
tt0050976,tt0120669
tt0050976,tt1212419
tt0050986,tt0063611
tt0050986,tt0077711
tt0050986,tt0061395
tt0050986,tt0091670
tt0050986,tt0065571
tt0050986,tt0087884
tt0050986,tt0056058
tt0050986,tt0057358
tt0050986,tt0060827
tt0050986,tt0054130
tt0050986,tt0046438
tt0050986,tt0057611
tt0051201,tt0071315
tt0051201,tt0154506
tt0051201,tt0452623
tt0051201,tt0117381
tt0051201,tt0278504
tt0051201,tt0465538
tt0051201,tt0091605
tt0051201,tt0095647
tt0051201,tt0104257
tt0051201,tt1132620
tt0051201,tt0119488
tt0051201,tt0114369
tt0052311,tt0035432
tt0052311,tt0049406
tt0052311,tt0040506
tt0052311,tt0042832
tt0052311,tt0036342
