filename,tid,title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,meanGenre,sdGenre,minGenre,maxGenre
titles01/tt0086190,tt0086190,Die Rückkehr der Jedi-Ritter (1983),die r ckkehr der jedi ritter,http://www.imdb.com/title/tt0086190/,8.4,445123,8040,1983,video.movie,12,14,94,1879,558,3,1707.66667,502.12969,1009,2167
titles03/index.html.3845,tt0371746,Iron Man (2008),iron man,http://www.imdb.com/title/tt0371746/,7.9,476288,7560,2008,video.movie,15,43,155,22252,993,2,2057.00000,110.00000,1947,2167
titles01/tt0401792,tt0401792,Sin City (2005),sin city,http://www.imdb.com/title/tt0401792/,8.2,491210,7440,2005,video.movie,21,29,212,5239,1677,2,2006.50000,1.50000,2005,2008
titles03/index.html.4105,tt0416449,300 (2006),,http://www.imdb.com/title/tt0416449/,7.8,466561,7020,2006,video.movie,9,28,115,68,2020,3,1273.00000,649.57217,643,2167
titles01/tt0434409,tt0434409,V wie Vendetta (2005),v wie vendetta,http://www.imdb.com/title/tt0434409/,8.2,557042,7920,2005,video.movie,4,17,70,1459,1980,2,2086.00000,81.00000,2005,2167
titles02/index.html.3137,tt0499549,Avatar - Aufbruch nach Pandora (2009),avatar aufbruch nach pandora,http://www.imdb.com/title/tt0499549/,8,658097,9720,2009,video.movie,58,74,240,14460,2991,3,1707.66667,502.12969,1009,2167
titles01/tt0848228,tt0848228,Marvel's The Avengers (2012),marvel s the avengers,http://www.imdb.com/title/tt0848228/,8.2,638083,8580,2012,video.movie,22,55,324,21466,1550,2,1588.00000,579.00000,1009,2167
titles01/tt1010048,tt1010048,Slumdog Millionär (2008),slumdog million r,http://www.imdb.com/title/tt1010048/,8.1,470400,7200,2008,video.movie,114,62,27,6741,972,3,3447.33333,2060.30747,1976,6361
titles01/tt1130884,tt1130884,Shutter Island (2010),shutter island,http://www.imdb.com/title/tt1130884/,8.1,495936,8280,2010,video.movie,4,27,56,3907,884,3,3195.00000,2261.57998,1219,6361
titles01/tt0120382,tt0120382,Die Truman Show (1998),die truman show,http://www.imdb.com/title/tt0120382/,8,455656,6180,1998,video.movie,32,37,113,702,789,2,5496.00000,865.00000,4631,6361
titles01/tt0167404,tt0167404,Sixth Sense (1999),sixth sense,http://www.imdb.com/title/tt0167404/,8.2,516468,6420,1999,video.movie,32,37,50,1500,2019,3,3195.00000,2261.57998,1219,6361
